Combined Vectors
14967
18160
16227
13917
17943
16163
18600
13359
12795
15407
18563
16546
16283
13860
17172
25304
18788
14175
13171
14523
16556
12611
13756
13216
20024
15899
17471
14633
13463
19660
16742
18460
12576
18795
14217
20923
16095
18612
19899
18804
13843
14238
13959
15608
15180
14971
14611
19572
17452
13939
17687
15620
18959
17272
16542
14843
16616
17046
13863
13443
17168
13850
19768
15616
15963
13735
16671
13583
17484
14743
15547
21840
17924
17165
16027
16575
16347
14995
13951
17592
18132
16079
16912
18851
17699
18980
16288
16068
13139
15724
18391
15360
11068
17255
18392
21523
12948
17847
15944
18687
14697
12609
12700
15322
17757
19000
18580
16352
19124
19172
13055
14431
16439
15196
17484
12521
17012
17511
20435
12919
18328
17174
19491
12444
17613
12815
16768
16571
21863
15808
17428
17052
17044
17547
12198
16896
14403
15167
16523
15764
13992
19199
15111
16711
15348
14503
14300
15631
15236
17296
17167
18080
18368
19024
16509
18084
13063
15291
12133
13559
16391
18959
12891
12638
17478
19847
14450
14468
13540
16904
15348
14631
13455
15979
21684
17204
17779
18059
19383
17892
14587
11933
13999
14884
18608
13939
14667
16784
17595
17228
15428
13722
12976
18151
15876
17423
17092
20484
18788
17715
16530
17651
17375
17826
11357
14649
13883
14162
13155
15159
17772
16793
17679
15388
13935
15419
17933
17703
12676
16243
15804
19580
18992
14400
15750
13315
15030
13957
13784
16204
16056
16104
17864
17380
19850
19036
15396
11638
17264
13112
15415
13928
18097
15371
16735
16964
18895
13900
14076
15093
14084
14475
15452
13627
18703
19787
15500
17348
16213
16123
13868
14916
16156
16932
15096
18604
15111
18067
17495
14784
12044
14480
14504
17708
15612
11587
15987
17580
18904
16512
14503
15771
16255
16219
11570
14811
17932
16539
16135
15639
16547
18520
14456
11363
13779
13447
18011
13379
15058
15819
21355
16787
19588
14648
16612
15615
19316
10071
16496
14865
18606
16815
16258
16827
18028
15945
10718
14587
16120
16684
11520
15703
13116
21100
15511
18076
16220
19459
12968
18839
12910
15341
14528
15660
19423
15480
17804
18707
14975
16115
14108
13688
16567
15159
18975
14448
16680
18028
19691
12424
18520
15076
15892
13742
13171
14747
17516
17133
15227
17068
19000
17096
20011
15256
16715
18084
14596
15391
13587
17187
19627
17636
15694
14044
14651
16867
15907
13891
11819
19415
18751
15800
14407
17171
16679
20460
11908
12841
12803
16387
16700
16940
13034
20836
19107
16840
14976
17095
17711
19096
15884
17131
16632
17388
16092
13611
17703
15219
19007
15474
17791
13148
19575
15803
16516
14304
17371
19060
18477
16532
14129
16283
15766
17608
15614
12968
17707
16092
14375
13523
17824
19307
15195
11108
13412
13469
16480
15859
14188
16059
17162
16463
15388
14928
16304
18592
13128
17804
12428
20159
17956
17917
15268
15635
14907
18980
11609
11123
13388
18936
15796
14412
14053
17731
17844
11676
16229
15492
19780
15328
17131
14068
16759
16419
22776
14580
14832
14235
19099
13868
14519
11683
15376
20768
16179
18080
15247
22584
16148
16766
15676
16899
15208
17164
11917
16220
13892
18256
16779
16680
14983
19019
13431
11479
13816
16032
19199
17600
14614
19260
19956
17451
12839
15600
14988
16052
15463
12787
14364
19275
19900
14235
11916
