name,n_points,mean_radius,std_radius,skewness,kurtosis,shapiro_p,js_div_vs_baseline
output100000,3000,2279.9771333364197,1036.1142797595853,0.3427850307333477,-0.3344746330713724,1.4978691782064636e-15,0.22132716668985558
output1500,1486,4944.325689715261,2052.0782904260377,0.02251568684999384,-0.46426341346497013,3.057063691238214e-05,0.010889661358184113
output20000,3000,4694.837104580646,2193.0186239443005,0.23583557841618433,-0.5756416087752747,2.393807605584937e-15,0.004891553268142177
output40000,3000,4576.92819128034,2112.152755890818,0.30753387499622603,-0.3972459871484335,4.22485069009928e-15,0.0
output60000,3000,2335.1054097074834,1118.4182761646139,0.3767794626076572,-0.14140079801377903,6.086689385864254e-16,0.20255040572058727
output80000,3000,2237.062524065627,1097.6885239650956,0.5191028354106965,0.1664120440960115,7.381509814439461e-20,0.217125836976425
