0,0
7244.34,1.62125e-05
475.203,5455.02
6271.88,951.427
-2043.31,-1115.7
-4505.13,-4430.2
-6610.52,2499.34
-10745.4,2716.96
-5573.84,-2084.25
-7474.36,96.5446
296.386,-6001.24
-5014.57,-2128.61
-3405.16,-1898.74
-3166.32,52.3827
4639.89,843.245
3151.76,-117.148
5554.14,9479.35
-754.745,7001.01
1713.12,4775.23
-6316.05,2216.73
-4236.63,91.6955
-5697.35,-2527.06
-7740.19,-3357.29
-1952.63,-4955.01
7664.12,-284.809
4476.23,2601.96
2378.52,-2249.14
2876.09,-5.95609
2409.33,-8.45648
-2095.99,5639.87
-5896.29,-609.623
-9041.96,-1592.98
-5647.16,-3348.81
-2221.32,-447.837
-2970.93,-5305.01
-3387.53,-2397.31
-1225.53,-3681.98
6038.93,-1537.92
4865.69,2134
5520.93,5280.96
-3364.88,6935.58
743.577,2643.11
-1319.67,4266.66
2489.54,2108.98
-4892.35,2187.19
-4656.56,-3585.22
-1947,-6964.01
5713.06,-4022.68
3536.82,-759.85
5041.92,763.383
444.84,-836.976
2476.29,1020.96
4004.26,4577.12
-1538.05,3146.55
-7239.71,1335.89
-6333.78,-4137.81
-2334.72,-686.503
-2127.46,-3474.59
-984.064,2129.01
-3325.46,-2178.54
2290.88,-2680.6
4793.55,2463.65
6417.76,3332.58
1516.05,5001.07
-91.1975,6884.83
-664.32,1961.44
1521.04,1158.3
-1195.57,3605.73
-3377.24,-38.5667
-5750.78,-2839.14
4269.71,-6297.65
3272.95,-3015.32
6380.58,-974
-1466.95,-598.223
1074.28,-597.934
479.161,2214.79
-3475.55,2382.07
-6704.71,1737.48
-8060.21,-1038.25
-4839.06,-4774.66
-802.028,-1571.87
767.372,-303.107
-4451.57,181.719
-1572.38,-1161.05
4363.49,-520.129
4838.77,5701.31
3303.9,3873.93
-2837.14,8216.76
-1540.45,593.211
1109.72,1263.24
553.255,-2743.41
240.083,-3355.68
-4874.26,-4425.57
-1400.7,-6718.24
5599.31,-3427.08
4114.7,-1244.98
-185.052,1051.24
-3359.39,-659.612
-237.014,-1666.84
1711.71,3370.75
-3740.26,884.703
-5873.73,1581.72
-9430.44,-3167.94
365.237,-1778.08
-672.843,1190.17
5730.67,-597.869
-43.9684,3709.8
3969.21,-1995.51
6668.32,1248.07
2563.34,6414.1
-984.326,6135.12
-4021.68,1889.35
-1435.15,-1709.8
1756.79,-1200.51
-94.1016,-1174.57
-2237.61,-1503.6
-817.08,-6397.74
5558.6,-6836.65
4074.98,652.617
-1670.87,149.595
-356.873,5075.89
-6483.49,301.232
2860.77,2662.06
-5059.86,5612.15
-4408.74,-1539.51
-7089.81,-2768.29
-88.5932,-5281.48
3961.22,-1802.31
2201.24,1105.75
-2075.22,2638.32
-389.17,85.7422
4550.25,2616.09
7310.29,5166.87
-1358.3,5119.29
-3522.17,2149.6
-6183.8,-34.3027
-1080,-6470.42
24.354,405.099
-6202.81,-3334.26
2309.47,-4665.66
1133.62,-5908.46
6434.91,-821.768
3739.12,3769
751.379,1203.18
-4954.9,-93.801
-1550.34,-322.994
-2296.92,3897.98
-3249.36,3960.72
-5735.86,-462.424
-2875.3,-3200.71
-506.926,-5514.23
7312.68,10.5274
-415.669,71.5331
3121.01,-2804.67
1766.46,5208.47
5138.42,2071.74
788.627,6366.58
-5325.06,4512.39
-3383.05,1224.85
1036.73,-3901.32
1413.88,-3175.11
-2191.32,-2571.82
-1956.26,-3499.97
